a,x0,x1,x2
-15,0,0,0
-14,0.001811957,-0.025367401,0.710287228
-13,0.001780367,-0.025154667,0.671507328
-12,0.001761392,-0.025036437,0.65302441
-11,0.001711631,-0.024751281,0.61530691
-10,0.001670075,-0.024533961,0.591356491
-9,0.00147602,-0.023616335,0.508625915
-8,0.001161751,-0.022287794,0.412837987
-7,0.001141975,-0.022214106,0.408707014
-6,-7.32E-05,-0.018296892,0.244173074
-5,-0.002179104,-0.012566055,0.072393573
-4,-0.010750209,0.006425474,-0.305591808
-3,-0.02696998,0.034166137,-0.635517968
-2,-0.109591282,0.132596911,-1.199458082
-1,-0.970000959,0.701053309,-2.117229208
0,-1.138591354,0.670248597,-2.031557
1,-0.823980083,1.785520435,0.396113729
2,-1.195137449,1.776744817,2.281538717
3,-1.121169917,1.826548781,1.51239518
4,-1.12083133,1.827051164,1.499891488
5,-1.118663775,1.831286649,1.325470173
6,-1.118317819,1.832122452,1.273448167
7,-1.118333322,1.832078099,1.277308332
8,-1.118271265,1.832283377,1.253471742
9,-1.118177732,1.83263432,1.201097707
10,-1.118147891,1.832759558,1.177732862
11,-1.118157005,1.832717262,1.18737593
12,-1.118142548,1.832790769,1.167265359
13,-1.118141381,1.832797219,1.165179822
14,-1.11813229,1.832851501,1.14470525
15,-1.11812811,1.832878313,1.133036468
