a,x0,x1,x2
-15,0,0,0
-14,139.5853854,0.000348963,4.65E-10
-13,113.816999,0.000284542,3.79E-10
-12,94.34003015,0.000235849,3.14E-10
-11,74.72785498,0.000186819,2.49E-10
-10,59.38318455,0.000148457,1.98E-10
-9,41.41263177,0.000103531,1.38E-10
-8,26.5956319,6.65E-05,8.87E-11
-7,20.18355321,5.05E-05,6.73E-11
-6,8.881733222,2.22E-05,2.96E-11
-5,1.863623293,4.66E-06,6.21E-12
-4,-5.021350215,-1.26E-05,-1.67E-11
-3,-5.886144147,-1.47E-05,-1.96E-11
-2,-5.771128857,-1.44E-05,-1.92E-11
-1,-4.933212334,-1.23E-05,-1.64E-11
0,-1.9845,-4.96E-06,-6.62E-12
1,2.059294852,5.15E-06,6.86E-12
2,12.38483808,3.10E-05,4.13E-11
3,17.90426572,4.48E-05,5.97E-11
4,30.18229818,7.55E-05,1.01E-10
5,41.16718541,0.000102918,1.37E-10
6,55.71196431,0.00013928,1.86E-10
7,74.29309986,0.000185733,2.48E-10
8,93.7588248,0.000234398,3.13E-10
9,112.6612651,0.000281654,3.76E-10
10,134.9784255,0.000337447,4.50E-10
11,162.7098254,0.000406776,5.42E-10
12,188.9553312,0.00047239,6.30E-10
13,219.6164623,0.000549044,7.32E-10
14,248.8948885,0.00062224,8.30E-10
15,281.2976511,0.000703248,9.38E-10
