a	x0		x1		x2
-11	9.6391447967	5.8410019516	1.0683052968
-10	24.0463204805	8.0309432787	1.1505680406
-9	-14.0785217098	2.108107961	0.9239658621
-8	-20.2107071278	1.1042885851	0.8839005024
-7	4.6456466926	5.2838120713	1.0542389347
-6	1.3744705844	4.702509535	1.0295475357
-5	-3.2507151087	3.8521056325	0.992533514
-4	-4.9882801704	3.51192045	0.9770789431
-3	-3.7681279257	3.7614168869	0.9887361849
-2	-3.147169859	3.8982165235	0.9954236163
-1	-2.2478158233	4.1078165486	1.0060012965
0	-2.1925478658	4.1219464603	1.0067496508
1	-2.5858819468	4.0135105348	1.0007970835
2	-2.2609584533	4.1147281132	1.0066501073
3	-2.5596808291	4.0111017006	1.0004115281
4	-2.5216806836	4.0268399856	1.0014141957
5	-2.6949792434	3.9415369403	0.9957272848
6	-2.7199463704	3.924818206	0.994541054
7	-2.6863353061	3.9572590087	0.9969644461
8	-2.6822132019	3.9675895562	0.9977916824
9	-2.6768014729	3.934348456	0.9949678792
10	-2.6687488221	3.9258258613	0.9941845421
11	-2.7307262247	3.9631202664	0.9978565638
12	-2.7365515487	3.965303717	0.9980920932
13	-2.8413151212	3.9941550888	1.0014701165
14	-2.8336469908	3.9926242626	1.0012702759
15	-2.7734278289	3.9832142688	0.9999115648
