a,x0,x1,x2
-12,9.861463999999614,5.784561999999937,1.0634260000000033
-11,5.285103756201806,5.1218650248051745,1.0395668674698832
-10,19.978120252365784,7.353631545741436,1.123351861198738
-9,-15.567374228774213,1.8457200655200836,0.9130330330330321
-8,-21.117303526569998,0.9411012318840548,0.8770228743961359
-7,3.661629595959454,5.090778333333326,1.0457896464646457
-6,0.68588491525413,4.563956581920898,1.023439632768362
-5,-3.48390874999998,3.7997252955426486,0.9901921085271319
-4,-5.149765052432626,3.4744604339667644,0.9754103582074188
-3,-3.846185174919322,3.740419525168856,0.9878477599782783
-2,-3.2137775992840565,3.8794811620427367,0.9946552240183467
-1,-2.2781422327354246,4.097198418032157,1.0056612053361933
0,-2.216681041193404,4.112891133900176,1.0064939254343268
1,-2.594575690296836,4.008826611913086,1.0007697706584322
2,-2.2679692659297697,4.110472438452808,1.0066593926804739
3,-2.5618404615577752,4.008610879280679,1.0005151266921937
4,-2.523275765153466,4.024572171392146,1.0015337778327535
5,-2.6953962520445742,3.939896371432501,0.9958800342724365
6,-2.7202525091509626,3.923258814798974,0.9946981919189395
7,-2.6864960954140717,3.9558308548273438,0.9971333473226265
8,-2.682370856841002,3.966168475820731,0.9979613661396112
9,-2.676955859964359,3.9329014512193767,0.9951360723329654
10,-2.668888615485602,3.9243592087407135,0.994351715383984
11,-2.7307369661953436,3.9616072262226005,0.9980128871417306
12,-2.736505261439901,3.963772340190574,0.99824579848889
13,-2.84098174796509,3.992602253790033,1.0016086779154243
14,-2.83321670101465,3.9910474829022604,1.001406767058345
15,-2.772539239227065,3.981527804878049,1.0000414024236188
