a,x0,x1,x2
-15,0,0,0
-14,0.0036148576941598507,-0.05060800771823791,0.7085121080553307
-13,-1.0287878454075134,6.88999443538663,1.2095381087282822
-12,2865.3593013109544,445.94095805273787,17.992642160755924
-11,122.37509433943933,24.564242280969154,1.840777073243384
-10,87.35034173610879,18.87242273392951,1.61110333484072
-9,-15.370683830803998,1.8832858543883475,0.9147891195499397
-8,-24.80758766880954,0.2300962379381346,0.8436192394850824
-7,10.783446923482053,6.628685822625917,1.1250063647459254
-6,4.817695093887193,5.488105185487716,1.0723616146766437
-5,-2.7422551735119542,3.99181566531718,1.0014829191894759
-4,-5.039556034242228,3.5043507619208754,0.9772224030077661
-3,-3.585853468081382,3.827099968882576,0.9937786057328561
-2,-2.887538225010395,3.995525932630167,1.0028761366255643
-1,-2.0538305337057743,4.209048944832388,1.0148156388645506
0,-2.0378122101034863,4.213602520466762,1.0150846189423188
1,-2.561803909291056,4.0517488770373555,1.0051406775414895
2,-2.2424629895328105,4.165430957313407,1.0125508409727693
3,-2.581227298592568,4.028840445400808,1.0032408784069504
4,-2.550822427963297,4.044098791698462,1.0043504719649672
5,-2.7109789497596295,3.9439459080371693,0.996686212425712
6,-2.730085844088932,3.92533286656428,0.9951554632931169
7,-2.7122879822039323,3.958153209359376,0.9980182522394253
8,-2.713888472012422,3.9683543748861156,0.998983702642168
9,-2.6864158837829333,3.93295990209513,0.9953947317925396
10,-2.6719886898090492,3.9243380582172698,0.9944337564766204
11,-2.7614535711360215,3.960001989138605,0.9987514227176209
12,-2.7681223006127023,3.9617856551571036,0.9989932135271464
13,-2.8937435131048157,3.987145561757931,1.0028019649192779
14,-2.882292562895295,3.985463563293399,1.002511020279758
15,-2.8041398051848225,3.9765705253881674,1.0007524278354578
