a,x0,x1,x2
-15,0,0,0
-14,0.003614857315944649,-0.050608002423225086,0.7085120339251512
-13,-1.0240789670284676,6.858342659556746,1.2071201911487868
-12,3.1961496205482476,5.592765541504667,1.0887961908611474
-11,6.791083802381333,5.5691175966884,1.0663789629573674
-10,13.163708009237066,6.427334287240205,1.09438155186317
-9,-8.858811428886149,3.0609803181179362,0.9668736487120012
-8,-17.00791335557011,1.671282834878335,0.9084698814286356
-7,9.612043739458478,6.392168040053192,1.1136233778416236
-6,4.4109897613425995,5.403885100416594,1.0682340279907618
-5,-2.7051822576466362,4.00012156894297,1.001911568114692
-4,-4.976999509422594,3.518860717922721,0.9779882291249278
-3,-3.5736138333356973,3.8301641052572024,0.993947672574897
-2,-2.881101411495494,3.9971213382264104,1.0029635774584174
-1,-2.0528118386647796,4.20922046648515,1.0148223038462265
0,-2.0370447878894877,4.213702488307992,1.015087053611735
1,-2.5612298823833286,4.051780475508392,1.0051386737164336
2,-2.242065647311639,4.1654106667834645,1.0125457218719542
3,-2.5808337253760665,4.028801879866037,1.0032341505216478
4,-2.5504408260382423,4.04405624833879,1.0043434905237705
5,-2.710573575406329,3.943904317837817,0.996679105436787
6,-2.7296760619226816,3.9252930188414923,0.9951484758170875
7,-2.711875784884925,3.9581221648079454,0.9980120550782539
8,-2.7134763893658747,3.9683258256466116,0.9989777399215837
9,-2.68601504573084,3.932940781663764,0.9953897563235728
10,-2.671593393516062,3.924321072308187,0.994429035030204
11,-2.761062992266761,3.95999162417077,0.9987474052974292
12,-2.7677362547765036,3.9617767351139843,0.998989384844842
13,-2.8933640787730477,3.987141228907084,1.0027986932897064
14,-2.881921056616638,3.985460180288267,1.0025079249376236
15,-2.803803132934235,3.9765699708260955,1.000749973839583
